Sl.NO.,PLAYER NAME,L25,B25-35,A35,Country,Team,PLAYING ROLE,BAT,BOW,ALL,BAT*SR,BOW*ECO,BOW*SR-BL,BAT*RUN-S,BOW*WK-I,BAT*T-RUNS,BAT*ODI-RUNS,BOW*WK-O,T-RUNS,T-WKTS,ODI-RUNS,ODI-SR-B,ODI-WKTS,ODI-SR-BL,CAPTAINCY EXP,INDIA,AUSTRALIA,OTHERS,ALL*SR-B,ALL*SR-BL,ALL*ECON,RUNS-S,HS ,AVE,SR -B,SIXERS,RUNS-C,WKTS,AVE-BL,ECON,SR -BL,Year,Year_Dummy,Base Price,Sold Price,S_B Price,SQRT(S-B),ln(SP)
56,"Lee, B",0,1,0,AUS,KXI+,Bowler,0,1,0,0,7.558052434,38.23809524,0,21,0,0,377,1451,310,1100,82.45,377,29.2,0,0,1,0,0,0,0,103,25,11.44444444,121.1764706,6,1009,21,48.04761905,7.558052434,38.23809524,2008,0,300000,900000,600000,774.6,13.71
57,"Maharoof, MF",0,1,0,SL,DD,Allrounder,0,0,1,0,0,0,0,0,0,0,0,556,25,1042,84.44,133,33.3,0,0,0,1,143.902439,15.55555556,7.428571429,177,39,17.7,143.902439,9,520,27,19.25925926,7.428571429,15.55555556,2008,0,150000,225000,75000,273.86,12.32
58,"Malinga, SL",0,1,0,SL,MI,Bowler,0,1,0,0,6.3640553,15.68674699,0,83,0,0,185,275,101,327,73.81,185,31.1,0,0,0,1,0,0,0,64,17,5.818181818,100,4,1381,83,16.63855422,6.3640553,15.68674699,2008,0,200000,350000,150000,387.3,12.77
59,"Mascarenhas, AD",0,1,0,ENG,RR+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,245,95.33,13,63.2,0,0,0,1,101.369863,14.94736842,7.012711864,74,27,8.222222222,101.369863,1,331,19,17.42105263,7.012711864,14.94736842,2011,1,100000,100000,0,0,11.51
60,"Mathews, AD",0,1,0,SL,KKR+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1219,7,1447,82.59,42,43,0,0,0,1,123.2786885,26.33333333,8.198473282,376,65,25.06666667,123.2786885,12,537,15,35.8,8.198473282,26.33333333,2011,1,300000,950000,650000,806.23,13.76
61,"McCullum, BB",0,1,0,NZ,KKR+,Batsman,1,0,0,123.4234234,0,0,1233,0,3763,4511,0,3763,0,4511,89.62,0,0,1,0,0,1,0,0,0,1233,158,28.02272727,123.4234234,48,0,0,0,0,0,2008,0,175000,700000,525000,724.57,13.46
62,"McDonald, AB",0,1,0,AUS,DD+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,107,9,0,0,0,0,0,0,1,0,125.5102041,17.4,8.413793103,123,33,30.75,125.5102041,4,244,10,24.4,8.413793103,17.4,2011,1,50000,80000,30000,173.21,11.29
63,"McGrath, GD",0,0,1,AUS,DD,Bowler,0,1,0,0,6.61,27,0,12,0,0,381,641,563,115,48.72,381,34,0,0,1,0,0,0,0,4,4,4,80,0,357,12,29.75,6.61,27,2008,0,350000,350000,0,0,12.77
64,Misbah-ul-Haq,0,0,1,PAK,RCB,Batsman,1,0,0,144.44,0,0,117,0,2173,2763,0,2173,0,2763,75.1,0,0,1,0,0,1,0,0,0,117,47,16.71,144.44,6,0,0,0,0,0,2010,0,100000,100000,0,0,11.51
65,"Mishra, A",0,1,0,IND,DD+,Bowler,0,1,0,0,7.109665428,17.45945946,0,74,0,0,19,392,43,5,27.77,19,40.1,0,1,0,0,0,0,0,186,31,10.94117647,102.1978022,3,1530,74,20.67567568,7.109665428,17.45945946,2011,1,100000,300000,200000,447.21,12.61
66,"Mithun, A",1,0,0,IND,RCB,Bowler,0,1,0,0,9.886363636,44,0,6,0,0,3,120,9,51,92.72,3,60,0,1,0,0,0,0,0,32,11,8,133.3333333,1,435,6,72.5,9.886363636,44,2011,1,100000,260000,160000,400,12.47
67,Mohammad Asif,0,1,0,PAK,DD,Bowler,0,1,0,0,9.25,24,0,8,0,0,46,141,106,34,34,46,42.1,0,0,0,1,0,0,0,3,3,1.5,50,0,296,8,37,9.25,24,2008,0,225000,650000,425000,651.92,13.38
68,"Morkel, JA",0,1,0,SA,CSK,Allrounder,0,0,1,0,0,0,0,0,0,0,0,58,1,782,100.25,50,41.4,0,0,0,1,146.2546816,20.01449275,8.252933507,781,71,24.40625,146.2546816,45,1899,69,27.52173913,8.252933507,20.01449275,2008,0,225000,675000,450000,670.82,13.42
69,"Morkel, M",1,0,0,SA,RR+,Bowler,0,1,0,0,7.366666667,18.94736842,0,38,0,0,94,555,139,117,75.97,94,28.5,0,0,0,1,0,0,0,60,16,10,111.1111111,2,884,38,23.26315789,7.366666667,18.94736842,2011,1,100000,475000,375000,612.37,13.07
70,"Muralitharan, M",0,0,1,SL,CSK+,Bowler,0,1,0,0,6.488372093,22.63157895,0,57,0,0,534,1261,800,674,77.56,534,35.2,0,0,0,1,0,0,0,20,6,3.333333333,66.66666667,0,1395,57,24.47368421,6.488372093,22.63157895,2008,0,250000,600000,350000,591.61,13.3
71,"Nannes, DP",0,0,1,AUS,DD+,Bowler,0,1,0,0,7.173913043,21.91666667,0,24,0,0,1,0,0,1,50,1,42,0,0,1,0,0,0,0,4,3,4,30.76923077,0,627,24,26.125,7.173913043,21.91666667,2011,1,200000,650000,450000,670.82,13.38
72,"Nayar, AM",0,1,0,IND,MI+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,123.1947484,25.85714286,8.737541528,563,35,19.4137931,123.1947484,19,263,7,37.57142857,8.737541528,25.85714286,2011,1,50000,800000,750000,866.03,13.59
73,"Nehra, A",0,1,0,IND,DD+,Bowler,0,1,0,0,7.568253968,19.72916667,0,48,0,0,157,77,44,141,57.31,157,36.6,0,1,0,0,0,0,0,38,22,19,82.60869565,1,1192,48,24.83333333,7.568253968,19.72916667,2011,1,200000,850000,650000,806.23,13.65
74,"Noffke, AA",0,0,1,AUS,RCB,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,54,0,0,1,0,90,24,10,9,9,9,90,0,40,1,40,10,24,2010,0,20000,20000,0,0,9.9
75,"Ntini, M",0,1,0,SA,CSK,Bowler,0,1,0,0,6.91,30,0,7,0,0,266,699,390,199,66.77,266,32.6,0,0,0,1,0,0,0,11,11,11,61.11,0,242,7,34.57,6.91,30,2008,0,200000,200000,0,0,12.21
76,"Ojha, NV",0,1,0,IND,RR+,Batsman,1,0,0,117.9361179,0,0,960,0,0,1,0,0,0,1,14.28,0,0,0,1,0,0,0,0,0,960,94,22.3255814,117.9361179,50,0,0,0,0,0,2011,1,100000,270000,170000,412.31,12.51
77,"Ojha, PP",0,1,0,IND,DC+,Bowler,0,1,0,0,7.163350301,18.79710145,0,69,0,0,20,70,62,41,43.61,20,41.7,0,1,0,0,0,0,0,10,3,1,30.3030303,0,1548,69,22.43478261,7.163350301,18.79710145,2011,1,200000,500000,300000,547.72,13.12
78,"Oram, JDP",0,1,0,NZ,CSK+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1780,60,2377,87.16,168,39.7,0,0,0,1,98.14814815,23.66666667,9.263456091,106,41,13.25,98.14814815,5,327,9,36.33333333,9.263456091,23.66666667,2008,0,200000,675000,475000,689.2,13.42
79,Pankaj Singh,0,1,0,IND,RCB+,Bowler,0,1,0,0,9.36,27.27272727,0,11,0,0,0,0,0,3,100,0,0,0,1,0,0,0,0,0,7,4,3.5,58.33333333,0,468,11,42.54545455,9.36,27.27272727,2011,1,50000,95000,45000,212.13,11.46
80,"Patel, MM",0,1,0,IND,RR+,Bowler,0,1,0,0,7.390663391,17.47142857,0,70,0,0,86,60,35,74,66.07,86,36.6,0,1,0,0,0,0,0,39,23,7.8,235.49,0,1504,70,21.48571429,7.390663391,17.47142857,2008,0,100000,275000,175000,418.33,12.52
81,"Patel, PA",0,1,0,IND,CSK+,Batsman,1,0,0,107.2941176,0,0,912,0,683,736,0,683,0,736,76.5,0,0,0,1,0,0,0,0,0,912,57,20.26666667,107.2941176,13,0,0,0,0,0,2008,0,150000,325000,175000,418.33,12.69
82,"Pathan, IK",0,1,0,IND,KXIP+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1105,100,1468,78.96,165,34,0,1,0,0,128.3149171,23.22727273,7.735996866,929,60,23.82051282,128.3149171,34,1975,66,29.92424242,7.735996866,23.22727273,2008,0,200000,925000,725000,851.47,13.74
83,"Pathan, YK",0,1,0,IND,RR+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,0,0,810,113.6,33,45.1,0,1,0,0,149.2477432,26.36111111,7.204301075,1488,100,25.65517241,149.2477432,81,1139,36,31.63888889,7.204301075,26.36111111,2008,0,100000,475000,375000,612.37,13.07
84,"Pietersen, KP",0,1,0,ENG,RCB+,Batsman,1,0,0,141.2026726,0,0,634,0,6654,4184,0,6654,5,4184,86.76,7,57.1,1,0,0,1,0,0,0,634,103,42.26666667,141.2026726,30,215,7,30.71428571,7.413793103,24.85714286,2009,0,1350000,1550000,200000,447.21,14.25
85,"Pollock, SM",0,1,0,SA,MI,Allrounder,0,0,1,0,0,0,0,0,0,0,0,3781,421,3519,86.69,393,39.9,1,0,0,1,132.43,25,6.54,147,33,18.37,132.43,8,301,11,27.36,6.54,25,2008,0,200000,550000,350000,591.61,13.22
86,"Pomersbach, LA",0,1,0,AUS,KXIP+,Batsman,1,0,0,130.4812834,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,244,79,27.11111111,130.4812834,12,0,0,0,0,0,2011,1,20000,50000,30000,173.21,10.82
87,"Ponting, RT",0,0,1,AUS,KKR,Batsman,1,0,0,73.58,0,0,39,0,13218,13704,0,13218,5,13704,80.39,3,50,1,0,1,0,0,0,0,39,20,9.75,73.58,1,0,0,0,0,0,2008,0,335000,400000,65000,254.95,12.9
88,"Powar, RR",0,1,0,IND,KXIP+,Bowler,0,1,0,0,7.422535211,32.76923077,0,13,0,0,34,13,6,163,62.69,34,45.1,0,1,0,0,0,0,0,67,28,22.33333333,104.6875,1,527,13,40.53846154,7.422535211,32.76923077,2008,0,150000,170000,20000,141.42,12.04
89,"Raina, SK",0,1,0,IND,CSK,Batsman,1,0,0,139.3939394,0,0,2254,0,710,3525,0,710,13,3525,92.71,16,61.9,0,1,0,0,0,0,0,2254,98,33.64179104,139.3939394,97,678,20,33.9,7.047817048,28.9,2008,0,125000,650000,525000,724.57,13.38
90,"Ryder, JD",0,1,0,NZ,RCB+,Allrounder,0,0,1,0,0,0,0,0,0,0,0,1269,5,1100,89.72,11,34.8,0,0,0,1,131.8777293,29.5,7.729591837,604,86,21.57142857,131.8777293,19,303,8,37.875,7.729591837,29.5,2009,0,100000,160000,60000,244.95,11.98
91,"Saha, WP",0,1,0,IND,KKR+,Batsman,1,0,0,128.2758621,0,0,372,0,74,4,0,74,0,4,80,0,0,0,1,0,0,0,0,0,372,59,28.61538462,128.2758621,16,0,0,0,0,0,2011,1,100000,100000,0,0,11.51
92,"Sangakkara, KC",0,1,0,SL,KXIP+,Batsman,1,0,0,124.7611465,0,0,1567,0,9382,10472,0,9382,0,10472,75.75,0,0,1,0,0,1,0,0,0,1567,94,27.98214286,124.7611465,27,0,0,0,0,0,2008,0,250000,700000,450000,670.82,13.46
93,"Sarwan, RR",0,1,0,WI,KXIP,Batsman,1,0,0,97.33,0,0,73,0,5842,5644,0,5842,23,5644,75.76,16,36.3,0,0,0,1,0,0,0,73,31,18.25,97.33,1,0,0,0,0,0,2008,0,225000,225000,0,0,12.32
